transaction_id,timestamp,product_id,quantity,price,customer_id,sales_channel,discount_code,region,payment_method,transaction_status
52,,10,,,8,reseller,HALFOFF,South,invalid_method,pending
53,2025-07-16 20:48:19.431901,7,-2,-73.8,32,invalid_channel,WELCOME10,North,debit_card,pending
54,2025-07-13 22:25:23,3,,,8,reseller,HALFOFF,invalid_region,paypal,completed
55,2025-09-09 09:12:17,8,-2,-100,8,online,,,credit_card,unknown
,,2,2,127.2,-5,online,,West,paypal,completed
57,2025-07-03 21:20:24,,10,,133,online,STUDENT20,West,,failed
58,2025-11-28 16:34:51,10,1,99.99,133,store,,invalid_region,invalid_method,pending
59,2025-11-05 12:00:48,2,,,2,online,,East,,pending
60,,3,,,,store,,West,invalid_method,completed
,2025-10-03 20:54:01,10,,,8,invalid_channel,,,invalid_method,unknown
62,2025-06-25 09:54:03,,,,133,invalid_channel,NOTVALID,North,,pending
63,2025-04-15 22:52:18.970244,7,,,-5,store,STUDENT20,invalid_region,cash,unknown
64,2025-11-06 02:22:19.456678,10,8,799.92,,store,HALFOFF,East,invalid_method,failed
65,2025-05-01 12:13:17,10,9,899.91,8,store,HALFOFF,West,,pending
46,2025-11-12 12:10:29,10,,,8,reseller,WELCOME10,South,cash,failed
67,2025-10-01 08:06:29,,,,-5,store,HALFOFF,invalid_region,,completed
68,,,8,,133,store,NOTVALID,North,cash,
69,2025-10-21 22:19:21.328442,8,,,1,,STUDENT20,West,cash,completed
70,not_a_timestamp,8,,,999,reseller,WELCOME10,South,,
,2025-07-15 11:58:59.424162,,,,-5,online,,invalid_region,invalid_method,completed
72,not_a_timestamp,10,,,8,,HALFOFF,North,paypal,pending
73,2025-07-23 10:09:33.832758,,3,,10,reseller,WELCOME10,South,,
74,2025-05-28 20:43:29.850376,7,-1,-36.9,999,online,HALFOFF,South,cash,completed
75,2025-05-16 11:36:01.321565,8,7,350,2,reseller,,,paypal,
,2025-04-20 19:41:47.510033,9999999,1,9999999,,invalid_channel,NOTVALID,North,cash,pending
77,2025-07-26 14:33:02,5,,,2,,,East,credit_card,completed
78,2025-02-05 13:11:21,2,,,999,store,HALFOFF,West,paypal,pending
79,2025-02-11 07:05:44,7,,,8,,WELCOME10,West,paypal,
80,2025-12-05 20:50:06.904112,10,,,8,invalid_channel,STUDENT20,West,debit_card,completed
,,2,1,63.6,2,online,,West,cash,failed
82,2025-02-15 12:44:39.852286,3,-1,-39.2,32,reseller,STUDENT20,invalid_region,,failed
83,,2,6,381.6,133,,NOTVALID,Central,invalid_method,failed
84,,8,7,350,133,reseller,STUDENT20,invalid_region,credit_card,failed
85,2025-10-08 23:03:36,7,,,1,online,,East,invalid_method,
,2025-06-21 11:40:44,2,4,254.4,2,invalid_channel,HALFOFF,Central,invalid_method,unknown
87,2025-09-08 20:15:00,10,3,299.97,1,reseller,NOTVALID,invalid_region,invalid_method,failed
88,2025-01-08 22:57:38,9999999,,,2,online,,West,credit_card,completed
89,2025-11-17 08:38:00,,2,,8,reseller,STUDENT20,Central,credit_card,completed
90,2025-04-21 07:20:46.566433,10,8,799.92,,store,WELCOME10,Central,debit_card,failed
16,2025-09-17 01:25:16.388852,3,0,0.0,8,reseller,,South,debit_card,pending
92,2025-10-18 03:34:32.288945,5,-1,-87.94,,,NOTVALID,South,invalid_method,unknown
93,2025-04-08 07:05:58,10,,,10,,,invalid_region,credit_card,unknown
94,2025-07-27 02:07:10,,,,32,invalid_channel,,West,debit_card,failed
95,2025-08-16 22:34:49,8,,,8,online,,,credit_card,pending
60,2025-08-17 01:38:53,,,,10,,NOTVALID,East,debit_card,unknown
97,2025-06-27 21:28:33,3,,,999,online,STUDENT20,South,invalid_method,
98,2025-03-07 00:31:28,2,2,127.2,133,,STUDENT20,East,invalid_method,completed
99,2025-04-02 17:07:42,3,6,235.2,8,reseller,NOTVALID,North,cash,unknown
100,,1,6,145.8,8,store,,West,credit_card,
,2025-05-21 07:48:24,9999999,,,8,,,invalid_region,credit_card,
102,2025-06-23 16:35:15.452682,7,1,36.9,2,,WELCOME10,,debit_card,pending
103,2025-03-08 15:35:22.645615,3,,,133,invalid_channel,STUDENT20,East,debit_card,completed
104,2025-10-15 14:40:27.904088,,10,,999,store,,North,debit_card,completed
105,2025-12-10 07:29:54,,,,2,,WELCOME10,West,credit_card,
,2025-03-02 12:12:13,,,,1,online,,West,credit_card,completed
107,2025-04-01 04:29:32,9999999,3,29999997,-5,online,HALFOFF,Central,paypal,pending
108,2025-09-09 03:15:18.898241,7,,,999,reseller,NOTVALID,Central,paypal,unknown
109,2025-02-10 11:20:00,2,-1,-63.6,1,,WELCOME10,East,,
110,2025-07-24 05:16:02,2,,,1,invalid_channel,,,invalid_method,unknown
105,2025-12-22 05:46:56,10,1,99.99,1,reseller,NOTVALID,Central,debit_card,pending
112,2025-12-12 04:16:07,5,,,32,store,,South,credit_card,completed
113,2025-03-11 01:41:08,10,1,99.99,8,invalid_channel,HALFOFF,Central,debit_card,unknown
114,2025-05-07 06:30:13,1,-2,-48.6,8,invalid_channel,WELCOME10,,invalid_method,
115,2025-12-14 14:17:55,10,10,999.9,999,invalid_channel,NOTVALID,East,credit_card,pending
56,2025-02-12 01:37:29,9999999,3,29999997,2,online,HALFOFF,South,debit_card,pending
117,2025-08-22 00:47:04,,4,,10,store,,South,credit_card,
118,2025-09-15 22:39:00.862714,,5,,,reseller,,Central,credit_card,failed
119,2025-07-27 14:19:13,3,,,999,invalid_channel,HALFOFF,North,debit_card,
120,2025-06-24 02:03:48,3,10,392.0,999,online,NOTVALID,South,invalid_method,completed
40,not_a_timestamp,8,2,100,-5,reseller,,North,paypal,completed
122,2025-08-04 15:50:24.129959,8,,,133,invalid_channel,STUDENT20,invalid_region,credit_card,completed
123,2025-06-15 03:59:10.758342,1,,,8,store,NOTVALID,South,paypal,completed
124,2025-09-15 08:33:10,9999999,6,59999994,8,invalid_channel,WELCOME10,North,credit_card,completed
125,2025-06-14 21:20:33.386347,3,,,2,online,NOTVALID,South,,completed
,,1,,,32,,,East,debit_card,failed
127,2025-01-16 11:05:19,9999999,-2,-19999998,999,invalid_channel,HALFOFF,South,paypal,
128,,7,,,2,online,STUDENT20,West,cash,
129,2025-01-13 08:54:47,1,1,24.3,133,,HALFOFF,South,invalid_method,
130,2025-11-26 03:20:28.694573,1,4,97.2,1,store,HALFOFF,Central,credit_card,
106,2025-10-19 05:09:14,8,,,1,reseller,NOTVALID,West,debit_card,completed
132,2025-04-13 07:08:43,,,,32,store,STUDENT20,,paypal,failed
133,2025-09-09 00:33:33.284023,2,,,8,invalid_channel,,West,credit_card,failed
134,2025-12-18 05:56:01,2,,,2,store,,South,,completed
135,2025-06-07 20:47:01,2,7,445.2,8,reseller,WELCOME10,East,debit_card,completed
50,2025-08-17 08:47:14.679229,2,5,318.0,2,online,WELCOME10,Central,,failed
137,not_a_timestamp,2,,,8,reseller,STUDENT20,invalid_region,paypal,completed
138,2025-06-25 05:21:15,3,4,156.8,,store,NOTVALID,invalid_region,paypal,completed
139,2025-10-08 07:18:05,9999999,,,133,store,HALFOFF,,cash,completed
140,2025-02-11 06:26:04,,,,8,,,,invalid_method,completed
124,2025-01-26 23:43:58.586709,2,4,254.4,1,,NOTVALID,East,credit_card,failed
142,2025-10-08 05:51:46,9999999,,,133,store,HALFOFF,North,cash,pending
143,2025-04-06 06:16:41.707454,7,-1,-36.9,1,,NOTVALID,invalid_region,credit_card,completed
144,2025-04-01 13:09:39.096788,10,,,,store,WELCOME10,invalid_region,invalid_method,completed
145,2025-01-09 18:16:57,5,,,8,invalid_channel,,invalid_region,invalid_method,
,2025-10-10 06:06:00.543356,3,,,32,online,,Central,paypal,
147,2025-03-02 05:08:32,5,,,8,online,NOTVALID,Central,invalid_method,completed
148,2025-12-09 07:27:41.197984,2,2,127.2,32,reseller,STUDENT20,,invalid_method,completed
149,2025-03-25 20:24:58,9999999,0,0,32,invalid_channel,STUDENT20,,cash,unknown
150,2025-09-22 05:26:39,9999999,10,99999990,10,invalid_channel,,invalid_region,credit_card,failed
104,2025-07-13 22:46:39.648892,2,,,32,store,,East,paypal,pending
152,2025-01-22 23:06:28,10,,,999,,,North,invalid_method,completed
153,2025-12-13 22:38:00,5,,,10,store,WELCOME10,,cash,unknown
154,,7,1,36.9,2,online,NOTVALID,West,paypal,pending
155,2025-04-08 01:08:53,5,,,2,online,STUDENT20,East,invalid_method,failed
64,2025-04-02 03:12:33,2,,,8,,HALFOFF,,,failed
157,2025-04-03 20:15:38.827000,3,4,156.8,999,reseller,,East,,failed
158,2025-10-23 20:35:42.169210,2,0,0.0,-5,,STUDENT20,North,cash,failed
159,2025-02-16 06:07:15,3,2,78.4,32,,,South,,unknown
160,2025-07-07 11:17:45,2,10,636.0,10,,NOTVALID,,paypal,pending
,2025-06-05 20:02:06.909827,10,8,799.92,32,store,WELCOME10,,invalid_method,pending
162,2025-02-22 11:44:08,2,,,32,,HALFOFF,East,debit_card,pending
163,2025-10-18 04:55:31,10,,,8,invalid_channel,HALFOFF,South,invalid_method,failed
164,2025-03-11 01:50:49.028991,9999999,10,99999990,32,reseller,STUDENT20,,,pending
165,not_a_timestamp,10,,,999,reseller,NOTVALID,West,debit_card,
66,,1,,,10,,HALFOFF,South,debit_card,
167,2025-04-27 05:17:20,8,,,133,store,WELCOME10,North,invalid_method,failed
168,2025-05-28 03:01:08,10,,,10,invalid_channel,,Central,debit_card,unknown
169,2025-01-08 08:59:06,,-1,,-5,reseller,,Central,debit_card,unknown
170,2025-08-13 04:45:56,5,1,87.94,32,online,STUDENT20,West,cash,completed
,,1,4,97.2,-5,online,NOTVALID,East,paypal,completed
172,2025-12-03 02:16:41.578317,10,8,799.92,32,,NOTVALID,Central,cash,
173,2025-01-11 18:45:43,8,3,150,32,invalid_channel,WELCOME10,South,invalid_method,unknown
174,2025-12-22 16:46:25,7,,,2,,NOTVALID,,cash,completed
175,,2,7,445.2,-5,reseller,HALFOFF,West,paypal,pending
,2025-02-05 12:06:56,10,,,8,online,WELCOME10,South,credit_card,pending
177,2025-01-18 00:53:14.709209,3,,,,,NOTVALID,Central,cash,failed
178,not_a_timestamp,10,1,99.99,1,online,WELCOME10,East,cash,
179,not_a_timestamp,,,,-5,,HALFOFF,invalid_region,invalid_method,
180,2025-04-12 08:40:45,9999999,,,2,reseller,WELCOME10,West,credit_card,unknown
84,2025-08-02 05:37:35,1,,,8,online,,North,cash,failed
182,2025-05-12 08:50:37,,,,8,,,,,completed
183,2025-08-27 06:01:53.024825,3,,,2,online,WELCOME10,Central,,unknown
184,2025-07-21 13:56:55,2,,,8,invalid_channel,WELCOME10,North,paypal,completed
185,2025-07-02 18:53:40,1,7,170.1,32,store,STUDENT20,North,paypal,completed
,2025-05-16 01:26:09,9999999,-1,-9999999,133,online,,Central,invalid_method,pending
187,2025-11-04 19:24:49.584520,5,,,32,,WELCOME10,West,credit_card,pending
188,,3,10,392.0,133,online,STUDENT20,invalid_region,,completed
189,,8,,,1,invalid_channel,,South,cash,unknown
190,2025-01-15 00:01:38,2,2,127.2,8,online,HALFOFF,North,debit_card,failed
,2025-06-12 23:11:46.629176,10,,,-5,store,WELCOME10,Central,cash,unknown
192,2025-06-25 17:32:43.255172,1,,,1,,,East,,unknown
193,,10,5,499.95,133,invalid_channel,HALFOFF,South,credit_card,
194,2025-08-17 06:49:28,,,,8,invalid_channel,WELCOME10,invalid_region,,completed
195,,2,-1,-63.6,133,,NOTVALID,invalid_region,invalid_method,
,2025-03-08 19:06:24.449421,8,,,32,store,HALFOFF,Central,invalid_method,
197,2025-03-11 09:52:23.969603,10,,,-5,store,WELCOME10,West,debit_card,failed
198,2025-10-22 10:35:26,10,,,999,reseller,NOTVALID,West,paypal,pending
199,2025-04-05 07:46:39.678773,3,6,235.2,133,invalid_channel,NOTVALID,East,cash,completed
200,2025-02-15 21:08:54,8,,,8,online,STUDENT20,invalid_region,credit_card,pending
,2025-07-27 23:16:42,7,-1,-36.9,1,invalid_channel,NOTVALID,invalid_region,credit_card,unknown
202,2025-07-26 10:40:18,7,5,184.5,2,invalid_channel,HALFOFF,West,debit_card,unknown
203,2025-01-15 00:48:47,10,,,,online,STUDENT20,South,credit_card,unknown
204,2025-12-26 13:00:49.295500,9999999,0,0,32,store,STUDENT20,East,cash,failed
205,2025-12-13 19:20:13,5,,,-5,online,NOTVALID,invalid_region,debit_card,failed
29,2025-08-19 00:33:33.985850,7,,,2,invalid_channel,,,,failed
207,2025-06-23 06:30:32,10,1,99.99,2,invalid_channel,,Central,credit_card,completed
208,2025-06-14 11:50:48,9999999,,,8,online,STUDENT20,,invalid_method,
209,2025-01-07 22:03:00.626192,,7,,-5,online,WELCOME10,,credit_card,pending
210,2025-04-21 09:07:56.651280,10,-2,-199.98,,store,HALFOFF,North,paypal,pending
,2025-12-15 16:15:53,10,4,399.96,1,reseller,WELCOME10,West,debit_card,failed
212,2025-07-14 23:24:28,,,,32,reseller,,West,invalid_method,
213,2025-09-10 13:52:25.585037,2,7,445.2,,invalid_channel,NOTVALID,East,paypal,
214,2025-12-16 06:20:14,,,,2,invalid_channel,,invalid_region,,pending
215,2025-08-14 14:22:45,8,2,100,-5,reseller,,East,paypal,pending
,2025-01-03 03:00:50,5,1,87.94,-5,,,North,credit_card,unknown
217,2025-02-07 17:52:03,10,,,2,store,HALFOFF,,cash,
218,2025-10-11 04:18:31,2,9,572.4,8,store,HALFOFF,East,,failed
219,2025-04-06 12:14:29.330626,7,10,369.0,8,online,STUDENT20,invalid_region,invalid_method,
220,2025-09-22 14:23:25,10,2,199.98,8,,NOTVALID,West,invalid_method,pending
,2025-09-26 11:18:35.894594,10,10,999.9,-5,store,HALFOFF,North,credit_card,completed
222,2025-09-19 05:56:14.813079,7,6,221.4,2,reseller,HALFOFF,North,cash,completed
223,2025-03-05 07:49:40,9999999,8,79999992,2,store,,West,paypal,failed
224,2025-12-07 14:01:56,10,,,32,invalid_channel,,East,debit_card,failed
225,2025-11-22 10:17:54.265289,10,,,,reseller,STUDENT20,East,paypal,completed
76,2025-02-21 21:05:14,1,,,32,invalid_channel,WELCOME10,Central,invalid_method,pending
227,2025-06-05 04:26:13,10,2,199.98,,,,South,debit_card,
228,,5,8,703.52,10,,,West,debit_card,pending
229,2025-02-11 09:11:16,3,8,313.6,1,store,,East,credit_card,pending
230,2025-07-13 11:25:45,3,,,1,,,South,credit_card,
51,2025-12-18 04:14:33.988482,3,,,,reseller,HALFOFF,Central,invalid_method,failed
232,not_a_timestamp,8,,,,invalid_channel,,,debit_card,unknown
233,2025-10-09 11:27:49,5,7,615.58,-5,invalid_channel,,West,invalid_method,unknown
234,2025-02-06 16:32:14,,,,10,store,HALFOFF,East,debit_card,completed
235,2025-11-12 14:45:11,1,,,133,invalid_channel,WELCOME10,invalid_region,,failed
,2025-10-02 03:57:32,10,,,8,store,STUDENT20,North,paypal,failed
237,2025-10-02 22:50:54,2,0,0.0,2,,,East,debit_card,
238,2025-10-14 01:35:08,3,,,32,store,STUDENT20,Central,credit_card,
239,2025-03-09 23:25:48,3,,,1,reseller,,South,,unknown
240,not_a_timestamp,10,,,,store,WELCOME10,North,credit_card,pending
,2025-07-19 08:24:55,7,,,32,reseller,NOTVALID,Central,cash,completed
242,,,,,,,STUDENT20,,,completed
243,2025-04-22 16:21:43.703559,2,4,254.4,,store,,,invalid_method,failed
244,2025-10-07 12:17:30,10,,,2,store,WELCOME10,North,,completed
245,2025-03-14 22:44:30,7,,,2,invalid_channel,,West,credit_card,unknown
134,2025-05-20 07:08:08,5,8,703.52,8,reseller,WELCOME10,,,failed
247,2025-11-19 12:32:26,,7,,2,invalid_channel,NOTVALID,invalid_region,credit_card,unknown
248,2025-12-13 01:16:22.814848,10,9,899.91,8,online,,South,debit_card,unknown
249,,1,,,8,online,WELCOME10,Central,cash,completed
250,2025-01-17 20:32:30,5,,,-5,invalid_channel,,,credit_card,unknown
171,2025-07-23 01:40:50,8,,,32,store,STUDENT20,North,credit_card,pending
252,2025-06-18 05:03:04,1,9,218.7,999,,,,credit_card,pending
253,2025-08-09 10:45:25,2,10,636.0,1,store,,West,paypal,pending
254,2025-05-14 12:30:40.698988,2,9,572.4,-5,store,NOTVALID,West,cash,unknown
255,,5,,,10,invalid_channel,,Central,cash,pending
190,2025-04-23 05:36:18.670029,,10,,2,,WELCOME10,East,debit_card,completed
257,2025-08-02 17:03:03,5,3,263.82,2,reseller,NOTVALID,Central,invalid_method,
258,2025-10-17 23:26:04,9999999,,,2,store,NOTVALID,West,debit_card,unknown
259,2025-11-26 07:19:35,10,,,999,reseller,STUDENT20,invalid_region,credit_card,unknown
260,2025-06-08 01:57:56,7,,,,online,STUDENT20,,credit_card,unknown
,2025-04-21 09:01:44.945611,3,,,-5,reseller,HALFOFF,Central,debit_card,completed
262,2025-02-15 17:23:01,,,,1,,NOTVALID,invalid_region,cash,unknown
263,2025-04-02 04:52:15,,,,8,reseller,STUDENT20,,invalid_method,failed
264,2025-08-10 22:42:58.344927,10,-1,-99.99,10,online,HALFOFF,invalid_region,invalid_method,
265,2025-10-06 01:12:39,2,4,254.4,,online,,South,debit_card,unknown
238,2025-07-06 22:07:24,8,0,0,-5,invalid_channel,NOTVALID,West,,unknown
267,2025-02-05 23:56:05,9999999,0,0,133,store,HALFOFF,East,debit_card,pending
268,2025-01-20 22:28:24,7,6,221.4,999,invalid_channel,STUDENT20,invalid_region,paypal,pending
269,2025-07-05 09:48:23.051682,9999999,6,59999994,,online,NOTVALID,invalid_region,,unknown
270,2025-08-11 15:28:03,7,10,369.0,32,,,North,invalid_method,pending
18,2025-03-19 14:19:02.193608,2,-1,-63.6,2,,NOTVALID,invalid_region,,completed
272,2025-11-21 20:03:23,10,3,299.97,133,reseller,,South,debit_card,pending
273,2025-02-26 18:24:24,2,,,8,invalid_channel,,South,invalid_method,completed
274,2025-07-02 18:53:07.088183,2,,,1,invalid_channel,,South,paypal,pending
275,2025-07-01 08:04:46.330362,8,,,,reseller,,invalid_region,invalid_method,unknown
,2025-10-17 23:13:28,10,,,2,,,Central,,completed
277,2025-02-25 13:23:06,1,,,999,store,,South,debit_card,completed
278,2025-07-09 08:56:46,,7,,,online,,invalid_region,invalid_method,unknown
279,2025-10-14 14:38:13.183775,2,0,0.0,32,reseller,,,paypal,failed
280,2025-03-11 03:35:26,,2,,2,invalid_channel,,invalid_region,cash,unknown
132,2025-02-27 05:11:28,1,,,,invalid_channel,STUDENT20,South,invalid_method,failed
282,2025-09-10 03:15:51.063940,10,,,,reseller,HALFOFF,South,credit_card,pending
283,not_a_timestamp,3,10,392.0,2,invalid_channel,HALFOFF,East,,completed
284,2025-05-21 13:58:40,10,,,,reseller,WELCOME10,Central,credit_card,failed
285,2025-10-11 23:59:58,10,1,99.99,2,store,,,,
220,2025-04-08 04:55:42,,6,,10,,,,credit_card,failed
287,2025-08-19 14:24:01,10,8,799.92,,store,HALFOFF,invalid_region,paypal,failed
288,2025-03-18 09:05:33,10,2,199.98,1,online,NOTVALID,Central,paypal,completed
289,2025-08-17 06:22:20,10,6,599.94,999,,HALFOFF,Central,,failed
290,2025-04-24 09:58:35,8,,,8,,NOTVALID,invalid_region,invalid_method,completed
,not_a_timestamp,9999999,,,,store,,invalid_region,debit_card,failed
292,2025-11-06 15:08:58,7,,,133,store,NOTVALID,Central,credit_card,completed
293,not_a_timestamp,,,,32,,NOTVALID,East,,
294,2025-08-21 11:19:36,9999999,9,89999991,2,invalid_channel,HALFOFF,Central,debit_card,
295,2025-02-17 03:49:35,1,0,0.0,,reseller,,,debit_card,pending
,2025-05-21 21:24:13.395403,5,2,175.88,1,invalid_channel,HALFOFF,,credit_card,unknown
297,2025-06-27 07:26:58.739770,10,,,999,invalid_channel,NOTVALID,Central,credit_card,failed
298,2025-02-12 00:04:22.961400,,1,,2,reseller,NOTVALID,East,invalid_method,unknown
299,2025-06-16 12:47:05,2,8,508.8,,reseller,STUDENT20,invalid_region,debit_card,completed
300,2025-06-15 04:06:18,,8,,32,reseller,HALFOFF,West,debit_card,completed
279,2025-11-23 10:09:43.694353,9999999,0,0,133,reseller,HALFOFF,South,paypal,pending
302,not_a_timestamp,1,0,0.0,32,store,NOTVALID,East,invalid_method,
303,2025-07-14 01:37:20,2,0,0.0,2,store,NOTVALID,East,credit_card,pending
304,2025-01-15 05:11:20,5,-2,-175.88,8,,HALFOFF,,cash,failed
305,2025-10-14 08:16:41.796709,5,0,0.0,2,,,North,debit_card,failed
,,5,,,8,store,,,credit_card,unknown
307,2025-11-21 18:47:59,,,,133,invalid_channel,STUDENT20,Central,paypal,pending
308,2025-10-27 01:29:08,10,,,2,,NOTVALID,,credit_card,
309,2025-08-04 21:11:29.100530,8,,,2,,HALFOFF,East,debit_card,completed
310,2025-10-14 15:46:44,8,,,8,store,NOTVALID,East,debit_card,pending
161,2025-11-15 22:12:54.190677,8,8,400,32,,HALFOFF,,debit_card,failed
312,2025-06-25 07:03:59.999064,7,,,-5,reseller,,,cash,
313,2025-05-08 12:25:29,3,-2,-78.4,,invalid_channel,WELCOME10,West,credit_card,failed
314,2025-11-26 10:00:38,1,7,170.1,8,invalid_channel,HALFOFF,West,credit_card,completed
315,2025-01-11 01:16:58,8,9,450,133,,NOTVALID,Central,credit_card,completed
,2025-12-04 07:10:04,9999999,,,2,invalid_channel,HALFOFF,South,credit_card,completed
317,2025-10-01 14:11:16,5,,,,store,STUDENT20,East,,
318,2025-04-25 01:10:20,5,2,175.88,2,invalid_channel,,Central,credit_card,
319,2025-12-12 18:53:54,9999999,,,2,invalid_channel,STUDENT20,West,invalid_method,pending
320,2025-08-02 15:36:20.566059,2,1,63.6,10,reseller,WELCOME10,,cash,pending
274,2025-09-08 14:35:38.183146,7,8,295.2,,store,,Central,cash,unknown
322,2025-04-22 00:47:18,7,,,2,reseller,,South,invalid_method,completed
323,2025-03-12 02:18:11,1,,,8,reseller,STUDENT20,East,,failed
324,,5,,,8,online,STUDENT20,,cash,failed
325,not_a_timestamp,10,9,899.91,2,reseller,NOTVALID,East,invalid_method,pending
140,2025-11-09 12:44:34.592214,8,,,32,store,WELCOME10,East,credit_card,
327,2025-01-01 08:15:37,,,,2,reseller,NOTVALID,North,debit_card,unknown
328,2025-10-18 19:31:28,1,6,145.8,8,reseller,STUDENT20,,credit_card,failed
329,2025-09-26 13:43:56,9999999,,,1,online,HALFOFF,East,cash,unknown
330,not_a_timestamp,10,,,999,store,WELCOME10,North,credit_card,pending
,2025-09-22 21:59:41,,,,10,reseller,HALFOFF,West,invalid_method,
332,2025-10-07 14:53:40.167079,3,7,274.4,999,,NOTVALID,East,,failed
333,not_a_timestamp,,8,,8,,STUDENT20,North,paypal,completed
334,2025-04-14 05:46:32,10,0,0.0,-5,online,STUDENT20,invalid_region,,completed
335,2025-02-24 20:57:16,8,-2,-100,-5,online,HALFOFF,Central,credit_card,completed
,2025-12-12 21:22:52.120957,9999999,,,,invalid_channel,NOTVALID,Central,credit_card,failed
337,2025-10-13 04:52:21,1,,,133,store,,North,debit_card,failed
338,2025-03-07 12:25:32,2,,,999,invalid_channel,NOTVALID,North,,unknown
339,2025-03-20 16:33:07,10,9,899.91,8,online,HALFOFF,invalid_region,cash,completed
340,2025-09-13 10:02:41,1,7,170.1,1,,HALFOFF,South,debit_card,failed
,2025-10-08 23:37:07,1,5,121.5,,store,STUDENT20,North,debit_card,pending
342,2025-06-17 15:04:30,7,1,36.9,,,HALFOFF,,debit_card,failed
343,2025-04-03 18:00:26.977701,5,,,1,,NOTVALID,North,cash,failed
